title,area,rating,n_reviews,reference
Old Flat на Жуковского,"Россия, Санкт-Петербургский регион, Санкт-Петербург",5.0,13,https://tophotels.ru/hotel/al100353/reviews
Aglaya Hotel & Courtyard 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.93,11,https://tophotels.ru/hotel/al171528/reviews
Peterville 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.82,14,https://tophotels.ru/hotel/al72506/reviews
Roses Hotel (закрыт) 4*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.8,14,https://tophotels.ru/hotel/al68046/reviews
НашОТЕЛЬ 4*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.56,15,https://tophotels.ru/hotel/al39750/reviews
Гранд отель Василеостровский (закрыт) 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.02,18,https://tophotels.ru/hotel/al123661/reviews
Отель Гранд Каньон 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",5.0,11,https://tophotels.ru/hotel/al191134/reviews
Станция S13 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.92,9,https://tophotels.ru/hotel/al311817/reviews
Crowne Plaza St. Petersburg Airport 4*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.85,13,https://tophotels.ru/hotel/al70999/reviews
Lancaster Court 4*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.8,13,https://tophotels.ru/hotel/al42717/reviews
Атриум 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.48,13,https://tophotels.ru/hotel/al45535/reviews
Novotel St.Petersburg Centre (Новотель Санкт-Петербург Центр) 4*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.44,16,https://tophotels.ru/hotel/al22574/reviews
Domina St. Petersburg 5*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.33,14,https://tophotels.ru/hotel/al81799/reviews
Анабель на Невском 88,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.31,16,https://tophotels.ru/hotel/al35967/reviews
Stony Island Каменоостровский 4*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.22,20,https://tophotels.ru/hotel/al21695/reviews
Парк Львиный мостик (Hotel Park Lion Bridge)  3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",3.76,19,https://tophotels.ru/hotel/al62721/reviews
ЛДМ-Отель 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",3.51,29,https://tophotels.ru/hotel/al63205/reviews
АЛЬТБУРГ на Греческом 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.86,9,https://tophotels.ru/hotel/al90319/reviews
Cronwell Inn Стремянная 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.83,11,https://tophotels.ru/hotel/al52831/reviews
Инжекон 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.81,13,https://tophotels.ru/hotel/al49038/reviews
РОССИ бутик-отель и СПА 4*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.6,18,https://tophotels.ru/hotel/al30656/reviews
Аллегро на Лиговском 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.57,13,https://tophotels.ru/hotel/al90314/reviews
SPA отель и Акваклуб VODA 5*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.5,16,https://tophotels.ru/hotel/al90983/reviews
ReMarka на Столярном 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.34,11,https://tophotels.ru/hotel/al308620/reviews
Галакт 2*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.16,13,https://tophotels.ru/hotel/al35012/reviews
Золотой Треугольник (Golden Triangle) 4*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.06,14,https://tophotels.ru/hotel/al63977/reviews
Алекс Отель на Будапештской,"Россия, Санкт-Петербургский регион, Санкт-Петербург",3.68,12,https://tophotels.ru/hotel/al54522/reviews
Отель Академия 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",3.68,18,https://tophotels.ru/hotel/al35153/reviews
Демидов мост 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",3.56,21,https://tophotels.ru/hotel/al31434/reviews
KRAVT Hotel 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",5.0,10,https://tophotels.ru/hotel/al296425/reviews
Петр Отель 4*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",5.0,9,https://tophotels.ru/hotel/al201471/reviews
Ermitage Hotel (Эрмитаж Отель) 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.95,29,https://tophotels.ru/hotel/al17056/reviews
Hotel MDK (Международных и деловых контактов) 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.83,10,https://tophotels.ru/hotel/al44224/reviews
Невский Двор,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.76,18,https://tophotels.ru/hotel/al27731/reviews
"Radisson Royal Hotel, St. Petersburg 5*","Россия, Санкт-Петербургский регион, Санкт-Петербург",4.54,11,https://tophotels.ru/hotel/al17015/reviews
Статский Советник 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.17,9,https://tophotels.ru/hotel/al63338/reviews
SPL Princess Anastasia,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.0,6,https://tophotels.ru/hotel/al319230/reviews
Самсонов Отель на Лиговском 48 (закрыт),"Россия, Санкт-Петербургский регион, Санкт-Петербург",3.63,10,https://tophotels.ru/hotel/al225688/reviews
Меншиков,"Россия, Санкт-Петербургский регион, Санкт-Петербург",3.0,20,https://tophotels.ru/hotel/al63221/reviews
Club Hotel Agni 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.94,9,https://tophotels.ru/hotel/al40274/reviews
Helvetia Hotel (Гельвеция Отель) 5*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.92,16,https://tophotels.ru/hotel/al17590/reviews
Shelfort 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.9,9,https://tophotels.ru/hotel/al23543/reviews
Дом Романовых 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.83,8,https://tophotels.ru/hotel/al306120/reviews
Станция К43 (на Казанской 43) (закрыт) 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.83,8,https://tophotels.ru/hotel/al172665/reviews
Флогистон 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.83,9,https://tophotels.ru/hotel/al152094/reviews
Solo Исаакиевская площадь,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.75,10,https://tophotels.ru/hotel/al78621/reviews
Demetra Art Hotel 4*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.71,8,https://tophotels.ru/hotel/al90474/reviews
Гоголь 4*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.6,11,https://tophotels.ru/hotel/al102148/reviews
Staybridge Suites St. Petersburg 4*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.56,8,https://tophotels.ru/hotel/al77535/reviews
