title,area,rating,n_reviews,reference
Niagara Falls (Ниагара Фоллс) 2*,"Россия, Краснодарский край, Сочи",4.92,5,https://tophotels.ru/hotel/al274935/reviews
Azalia (Азалия),"Россия, Краснодарский край, Сочи",4.75,2,https://tophotels.ru/hotel/al318082/reviews
Маяк 3*,"Россия, Краснодарский край, Сочи",4.75,2,https://tophotels.ru/hotel/al245606/reviews
Олимп 3*,"Россия, Краснодарский край, Сочи",4.67,3,https://tophotels.ru/hotel/al47561/reviews
Oliva Club Hotel (Оливия),"Россия, Краснодарский край, Сочи",4.5,2,https://tophotels.ru/hotel/al315711/reviews
Талисман,"Россия, Краснодарский край, Сочи",4.22,3,https://tophotels.ru/hotel/al310687/reviews
Факел 3*,"Россия, Краснодарский край, Сочи",4.17,3,https://tophotels.ru/hotel/al312526/reviews
Сон У Моря,"Россия, Краснодарский край, Сочи",4.08,2,https://tophotels.ru/hotel/al274961/reviews
Суббота,"Россия, Краснодарский край, Сочи",4.0,4,https://tophotels.ru/hotel/al247917/reviews
Москва 3*,"Россия, Краснодарский край, Сочи",3.75,3,https://tophotels.ru/hotel/al18072/reviews
GREEN HOUSE Detox & SPA Hotel 4*,"Россия, Краснодарский край, Сочи, Хоста",3.61,6,https://tophotels.ru/hotel/al117936/reviews
Валентин 3*,"Россия, Краснодарский край, Сочи",3.19,6,https://tophotels.ru/hotel/al18074/reviews
Сочинский (Бывший им. Ворошилова),"Россия, Краснодарский край, Сочи",2.93,16,https://tophotels.ru/hotel/al35533/reviews
Луч,"Россия, Краснодарский край, Сочи",2.0,3,https://tophotels.ru/hotel/al50166/reviews
Парегам,"Россия, Краснодарский край, Сочи, Калиновка",0.0,2,https://tophotels.ru/hotel/al308431/reviews
Элит-отель 3*,"Россия, Краснодарский край, Сочи",0.0,2,https://tophotels.ru/hotel/al62835/reviews
Sunrise,"Россия, Краснодарский край, Сочи",5.0,1,https://tophotels.ru/hotel/al321338/reviews
Villa Polianna (Вилла Полианна),"Россия, Краснодарский край, Сочи",5.0,1,https://tophotels.ru/hotel/al315675/reviews
Московский железнодорожник 3*,"Россия, Краснодарский край, Сочи, Хоста",5.0,1,https://tophotels.ru/hotel/al71681/reviews
Оазис Центр Хостел,"Россия, Краснодарский край, Сочи",5.0,1,https://tophotels.ru/hotel/al274952/reviews
